State,County of County_Animals,ANSI of County_Animals,Ag District,Ag District Code,Year of County_Animals,"CATTLE, COWS, BEEF - INVENTORY","CATTLE, COWS, MILK - INVENTORY","CATTLE, INCL CALVES - INVENTORY","CATTLE, ON FEED - INVENTORY",HOGS - INVENTORY,TURKEYS - INVENTORY
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2010,5100,400,12300,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2011,4800,400,12100,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2012,4900,400,11900,52,48,39
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2013,4800,300,10400,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2014,4400,300,9900,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2015,4400,400,10000,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2016,4400,300,11000,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2017,4400,300,10800,125,217,100
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2018,4200,100,8700,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2019,4300,100,8600,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2020,4200,100,8300,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2021,3900,100,7900,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2022,4100,100,8100,190,171,92
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2023,4100,100,8000,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2010,700,200,2200,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2011,700,200,2200,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2012,700,200,2200,273,170,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2013,700,200,1600,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2014,600,200,1500,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2015,600,200,1600,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2016,600,200,1700,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2017,400,200,1700,276,146,29
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2018,,,1000,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2019,,,1000,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2020,,,1000,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2021,,,900,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2022,,,1000,,231,118
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2023,,,1000,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2010,6600,7000,26500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2011,6300,7000,26000,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2012,6300,6900,25500,2531,18705,483590
MINNESOTA,BECKER,27005,NORTHWEST,10,2013,7000,8000,32000,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2014,6400,7700,30500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2015,6400,7300,29500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2016,6400,7000,28500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2017,6400,6600,27500,1969,,578604
MINNESOTA,BECKER,27005,NORTHWEST,10,2018,6100,6200,26500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2019,6200,6200,26500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2020,6100,6100,26000,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2021,5600,6200,24500,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2022,6000,6300,25000,2985,24991,357337
MINNESOTA,BECKER,27005,NORTHWEST,10,2023,6000,6200,25000,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2010,9500,1000,19900,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2011,9000,1000,19600,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2012,9100,1000,19200,,186,72
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2013,8700,500,16800,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2014,7900,500,16000,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2015,7900,500,16300,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2016,8900,500,17700,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2017,9300,500,17500,336,190,132
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2018,9700,,16500,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2019,9800,,16300,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2020,9700,,15900,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2021,8900,,15100,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2022,9600,,15500,307,209,6
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2023,9600,,15300,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2010,4600,12900,38000,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2011,4300,12900,37500,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2012,4400,12700,36500,4359,23865,22
MINNESOTA,BENTON,27009,CENTRAL,50,2013,4700,11200,35000,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2014,4300,11100,33500,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2015,4300,10900,34000,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2016,4300,10900,35000,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2017,4700,10800,34500,3395,25398,
MINNESOTA,BENTON,27009,CENTRAL,50,2018,4000,10300,33500,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2019,4000,10200,33000,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2020,4000,10100,32500,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2021,3700,10300,30500,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2022,3900,10500,31500,4157,34685,
MINNESOTA,BENTON,27009,CENTRAL,50,2023,3900,10300,31000,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2010,1600,800,6000,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2011,1500,800,5900,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2012,1600,800,5800,937,41005,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2013,1700,400,4600,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2014,1600,400,4500,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2015,1600,400,6700,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2016,1600,400,8900,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2017,2100,400,11100,1065,47084,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2018,2500,,13300,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2019,2600,,13200,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2020,2500,,12800,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2021,2300,,12200,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2022,2500,,12500,406,45114,
