State,County,ANSI,Ag District,Ag District Code,Year,CORN - ACRES PLANTED,"CORN, GRAIN - ACRES HARVESTED","CORN, GRAIN - PRODUCTION, MEASURED IN BU","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN, SILAGE - ACRES HARVESTED","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SOYBEANS - ACRES HARVESTED,SOYBEANS - ACRES PLANTED,"SOYBEANS - PRODUCTION, MEASURED IN BU","SOYBEANS - YIELD, MEASURED IN BU / ACRE",SUGARBEETS - ACRES HARVESTED,SUGARBEETS - ACRES PLANTED,"SUGARBEETS - PRODUCTION, MEASURED IN TONS","SUGARBEETS - SUCROSE, MEASURED IN PCT","SUGARBEETS - YIELD, MEASURED IN TONS / ACRE"
MINNESOTA,BENTON,27009,CENTRAL,50,2010,57000,50600,7742000,153,,,,32800,33000,1404000,42.8,,,,,
MINNESOTA,CARVER,27019,CENTRAL,50,2010,58200,55400,10300000,186,2500,48000,19,38800,39000,2004000,51.6,,,,,
MINNESOTA,KANDIYOHI,27067,CENTRAL,50,2010,156500,152200,26700000,175.5,3660,69000,19,106000,107000,5045000,47.6,14400,14400,384000,16.33,26.7
MINNESOTA,MCLEOD,27085,CENTRAL,50,2010,113500,108700,19800000,182.5,4350,92000,21,91700,92500,4481000,48.9,2300,2300,58600,16.23,25.5
MINNESOTA,MEEKER,27093,CENTRAL,50,2010,122500,118100,21000000,178.1,,,,104400,105500,5059000,48.5,2500,2500,65100,16.26,26
MINNESOTA,MORRISON,27097,CENTRAL,50,2010,90000,75100,11900000,159.1,14300,284000,20,25400,25500,1163000,45.8,,,,,
MINNESOTA,RENVILLE,27129,CENTRAL,50,2010,252500,246500,45900000,186.1,,,,199000,201000,10300000,51.8,37500,37800,1021000,16.08,27.2
MINNESOTA,SCOTT,27139,CENTRAL,50,2010,36700,34100,6330000,185.6,2370,53000,22.5,34800,35000,1780000,51.1,,,,,
MINNESOTA,SHERBURNE,27141,CENTRAL,50,2010,28500,27500,4368000,158.8,,,,15900,16000,633000,39.8,,,,,
MINNESOTA,SIBLEY,27143,CENTRAL,50,2010,156500,149900,28400000,189.3,,,,120800,122000,6308000,52.2,2500,2600,66700,15.87,26.7
MINNESOTA,STEARNS,27145,CENTRAL,50,2010,202500,164400,27100000,164.9,36500,703000,19.5,98300,99000,4502000,45.8,2600,2600,77600,16.4,29.8
MINNESOTA,TODD,27153,CENTRAL,50,2010,67500,53700,7665000,142.7,11500,174000,15,39200,40000,1547000,39.5,,,,,
MINNESOTA,WADENA,27159,CENTRAL,50,2010,20000,17500,2381000,136.1,1810,24600,13.5,7100,7200,292000,41.1,,,,,
MINNESOTA,WRIGHT,27171,CENTRAL,50,2010,75100,70300,11500000,162.9,,,,76800,77300,3625000,47.2,,,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2010,2600,2200,308000,140,340,5000,14.5,4900,5000,194000,39.6,,,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2010,7000,6800,943000,138.7,,,,3000,3000,122000,40.7,,,,,
MINNESOTA,CARLTON,27017,EAST CENTRAL,60,2010,1400,700,75000,107.1,,,,,,,,,,,,
MINNESOTA,CHISAGO,27025,EAST CENTRAL,60,2010,27200,24600,3756000,152.7,2300,50000,21.5,25800,26100,1113000,43.1,,,,,
MINNESOTA,CROW WING,27035,EAST CENTRAL,60,2010,7200,5900,795000,134.7,1240,16600,13.5,1300,1400,42000,32.3,,,,,
MINNESOTA,HENNEPIN,27053,EAST CENTRAL,60,2010,15500,14800,2380000,160.8,380,6400,17,13600,14000,632000,46.5,,,,,
MINNESOTA,ISANTI,27059,EAST CENTRAL,60,2010,32900,31600,4347000,137.6,1120,20200,18,26400,26700,981000,37.2,,,,,
MINNESOTA,KANABEC,27065,EAST CENTRAL,60,2010,12800,11100,1661000,149.6,1640,29000,17.5,12900,13000,546000,42.3,,,,,
MINNESOTA,MILLE LACS,27095,EAST CENTRAL,60,2010,22500,20100,3204000,159.4,2130,39600,18.5,16600,16700,705000,42.5,,,,,
MINNESOTA,PINE,27115,EAST CENTRAL,60,2010,18300,13100,1841000,140.5,5000,90000,18,12100,12200,512000,42.3,,,,,
MINNESOTA,WASHINGTON,27163,EAST CENTRAL,60,2010,19600,19100,3094000,162,370,6800,18.5,13800,13900,660000,47.8,,,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2010,40600,35600,4710000,132.3,4650,76000,16.5,85400,87300,2879000,33.7,7400,7500,195000,18.19,26.4
MINNESOTA,CLAY,27027,NORTHWEST,10,2010,101000,95100,14000000,147,,,,191300,193000,6878000,36,42900,43600,1201000,17.58,28
MINNESOTA,CLEARWATER,27029,NORTHWEST,10,2010,3700,1900,182000,95.8,1500,20400,13.5,12500,12600,376000,30.1,,,,,
MINNESOTA,KITTSON,27069,NORTHWEST,10,2010,,,,,2190,31400,14.5,100500,101500,3431000,34.1,28400,31100,620000,18.14,21.8
MINNESOTA,MAHNOMEN,27087,NORTHWEST,10,2010,33700,31100,4322000,139,,,,66200,70600,2180000,32.9,2400,2500,65400,17.9,27.3
MINNESOTA,MARSHALL,27089,NORTHWEST,10,2010,7500,6800,883000,129.9,,,,204000,207000,6457000,31.7,40800,42100,959000,18.25,23.5
MINNESOTA,NORMAN,27107,NORTHWEST,10,2010,72000,70600,10000000,141.7,,,,183000,184000,6197000,33.9,37900,38200,1096000,17.87,28.9
MINNESOTA,PENNINGTON,27113,NORTHWEST,10,2010,2700,2400,240000,100,,,,91600,93000,2692000,29.4,,,,,
MINNESOTA,POLK,27119,NORTHWEST,10,2010,44200,42000,6012000,143.1,2160,18500,8.6,269000,272000,9256000,34.4,90600,91200,2425000,18.23,26.8
MINNESOTA,RED LAKE,27125,NORTHWEST,10,2010,12200,10300,1344000,130.5,1610,29600,18.5,67000,67500,2177000,32.5,,,,,
MINNESOTA,ROSEAU,27135,NORTHWEST,10,2010,,,,,2370,30400,13,103500,105500,3070000,29.7,,,,,
MINNESOTA,BLUE EARTH,27013,SOUTH CENTRAL,80,2010,186000,183400,31900000,174.1,,,,162500,165500,7818000,48.1,,,,,
MINNESOTA,BROWN,27015,SOUTH CENTRAL,80,2010,160000,150400,28000000,186.2,8300,166000,20,123200,124500,6314000,51.3,,,,,
MINNESOTA,FARIBAULT,27043,SOUTH CENTRAL,80,2010,212500,210000,37500000,178.8,,,,169000,171500,8509000,50.3,,,,,
MINNESOTA,FREEBORN,27047,SOUTH CENTRAL,80,2010,194000,192400,35200000,183.1,,,,141800,143000,6956000,49.1,,,,,
MINNESOTA,LE SUEUR,27079,SOUTH CENTRAL,80,2010,90100,87500,16000000,182.7,,,,78900,80000,3909000,49.5,,,,,
MINNESOTA,MARTIN,27091,SOUTH CENTRAL,80,2010,215500,211500,39800000,188,,,,160000,162500,7856000,49.1,,,,,
MINNESOTA,NICOLLET,27103,SOUTH CENTRAL,80,2010,125000,118600,21000000,176.7,,,,81200,82500,4138000,51,,,,,
MINNESOTA,RICE,27131,SOUTH CENTRAL,80,2010,88900,84800,16200000,191,,,,67100,68500,3611000,53.8,,,,,
MINNESOTA,STEELE,27147,SOUTH CENTRAL,80,2010,111000,107900,20100000,186.5,,,,79000,80500,4079000,51.6,,,,,
MINNESOTA,WASECA,27161,SOUTH CENTRAL,80,2010,118000,115200,21400000,186,,,,85800,87000,4392000,51.2,,,,,
MINNESOTA,WATONWAN,27165,SOUTH CENTRAL,80,2010,130000,128300,23500000,183.1,870,18300,21,100500,102500,4850000,48.3,,,,,
MINNESOTA,DAKOTA,27037,SOUTHEAST,90,2010,86000,83000,15700000,189.3,,,,50700,51000,2583000,50.9,,,,,
MINNESOTA,DODGE,27039,SOUTHEAST,90,2010,120500,116800,22800000,195.4,2190,55000,25,88000,88600,4568000,51.9,,,,,
MINNESOTA,FILLMORE,27045,SOUTHEAST,90,2010,171000,162400,30500000,187.6,8500,204000,24,94900,95700,5129000,54,,,,,
MINNESOTA,GOODHUE,27049,SOUTHEAST,90,2010,154000,143700,27900000,193.8,9500,229000,24,94200,95000,4979000,52.9,,,,,
MINNESOTA,HOUSTON,27055,SOUTHEAST,90,2010,56300,48900,8818000,180.3,,,,26200,26500,1361000,51.9,,,,,
MINNESOTA,MOWER,27099,SOUTHEAST,90,2010,196500,191200,37100000,194.1,4200,94000,22.5,154700,156000,7873000,50.9,,,,,
MINNESOTA,OLMSTED,27109,SOUTHEAST,90,2010,116000,106800,20600000,192.8,6650,141000,21,71200,72000,3845000,54,,,,,
MINNESOTA,WABASHA,27157,SOUTHEAST,90,2010,86800,77600,14400000,185.9,8000,188000,23.5,39100,40000,2044000,52.3,,,,,
MINNESOTA,WINONA,27169,SOUTHEAST,90,2010,79900,65600,12200000,185.2,14000,341000,24.5,29000,29200,1627000,56.1,,,,,
MINNESOTA,COTTONWOOD,27033,SOUTHWEST,70,2010,172000,166900,30100000,180.4,,,,153000,156500,7111000,46.5,,,,,
MINNESOTA,JACKSON,27063,SOUTHWEST,70,2010,196500,194500,36100000,185.7,,,,170500,173000,8300000,48.7,,,,,
MINNESOTA,LINCOLN,27081,SOUTHWEST,70,2010,109000,105600,17100000,161.9,2610,49800,19,104000,106000,4661000,44.8,,,,,
MINNESOTA,LYON,27083,SOUTHWEST,70,2010,183500,175500,29600000,168.6,,,,155500,158000,7498000,48.2,,,,,
MINNESOTA,MURRAY,27101,SOUTHWEST,70,2010,176500,163600,30500000,186.3,,,,168500,170000,8481000,50.3,,,,,
MINNESOTA,NOBLES,27105,SOUTHWEST,70,2010,200500,188700,33900000,179.8,,,,178800,181000,9086000,50.8,,,,,
MINNESOTA,PIPESTONE,27117,SOUTHWEST,70,2010,111000,101000,17400000,172.4,,,,94200,95000,4596000,48.8,,,,,
MINNESOTA,REDWOOD,27127,SOUTHWEST,70,2010,236000,233500,43000000,184,,,,217000,219000,11100000,51.3,4700,4700,128000,15.81,27.2
MINNESOTA,ROCK,27133,SOUTHWEST,70,2010,136000,125700,23800000,189.2,,,,110500,111500,5997000,54.3,,,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2010,87200,85300,13900000,162.8,1270,20100,16,115000,116000,4722000,41.1,,,,,
MINNESOTA,CHIPPEWA,27023,WEST CENTRAL,40,2010,148500,146100,26400000,180.8,1200,25900,21.5,101700,102500,4938000,48.6,30000,30100,762000,16.32,25.4
MINNESOTA,DOUGLAS,27041,WEST CENTRAL,40,2010,58000,53100,8509000,160.2,,,,74300,75000,3046000,41,,,,,
MINNESOTA,GRANT,27051,WEST CENTRAL,40,2010,100500,99200,17100000,172.7,,,,109000,110500,4494000,41.2,12100,12200,333000,16.61,27.5
MINNESOTA,LAC QUI PARLE,27073,WEST CENTRAL,40,2010,170500,168100,29100000,172.9,,,,170500,172500,7744000,45.4,,,,,
MINNESOTA,OTTER TAIL,27111,WEST CENTRAL,40,2010,142500,122400,19400000,158.3,19300,332000,17,155500,157000,6143000,39.5,3100,3300,83600,15.94,27
