State,County,ANSI,Ag District,Ag District Code,Year,Total Class 2a Tillable Acres,Total Estimated Value,Estimated Value Per Acre
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2010,15609,16078900,1030
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2011,14720,15845600,1076
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2012,15759,16933500,1074
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2013,20814,21282000,1022
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2014,21641,22050200,1018
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2015,21164,20437800,965
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2016,21113,21842500,1034
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2017,22426,21935600,978
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2018,23364,22604600,967
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2019,24066,24032400,998
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2020,24182,25413400,1050
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2021,24084,25654300,1065
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2022,24932,34348800,1377
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2023,24758,38675800,1562
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2010,30629,284623000,9292
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2011,30497,265579200,8708
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2012,30188,227210400,7526
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2013,30109,217263900,7215
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2014,29957,219025300,7311
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2015,29897,220223900,7366
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2016,29590,219325500,7412
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2017,26284,195039100,7420
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2018,28847,218001900,7557
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2019,28246,238188300,8432
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2020,21361,127038300,5947
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2021,20262,125206736,6179
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2022,24258,152722400,6295
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2023,22686,158987800,7008
MINNESOTA,BECKER,27005,NORTHWEST,10,2010,246576,359007100,1455
MINNESOTA,BECKER,27005,NORTHWEST,10,2011,247743,489416200,1975
MINNESOTA,BECKER,27005,NORTHWEST,10,2012,250257,561730600,2244
MINNESOTA,BECKER,27005,NORTHWEST,10,2013,250806,664559500,2649
MINNESOTA,BECKER,27005,NORTHWEST,10,2014,251221,773715500,3079
MINNESOTA,BECKER,27005,NORTHWEST,10,2015,251846,767300000,3046
MINNESOTA,BECKER,27005,NORTHWEST,10,2016,253952,776257600,3056
MINNESOTA,BECKER,27005,NORTHWEST,10,2017,253854,776328100,3058
MINNESOTA,BECKER,27005,NORTHWEST,10,2018,252504,774380300,3066
MINNESOTA,BECKER,27005,NORTHWEST,10,2019,257665,779494900,3025
MINNESOTA,BECKER,27005,NORTHWEST,10,2020,259564,818871500,3154
MINNESOTA,BECKER,27005,NORTHWEST,10,2021,264021,832118700,3151
