County,Total Miles
Aitkin,5300.98
Anoka,7820.52
Becker,6381.56
Beltrami,6948.68
Benton,3036.4
Big Stone,2813.32
Blue Earth,5478.25
Brown,3785.4
Carlton,3801.07
Carver,3582.32
Cass,7779.64
Chippewa,3655.65
Chisago,3553.24
Clay,6529.67
Clearwater,3792.56
Cook,2948.28
Cottonwood,3863.81
Crow Wing,6495.43
Dakota,8775.14
Dodge,2840.55
Douglas,4752.63
Faribault,4487.55
Fillmore,4815.51
Freeborn,4813.41
Goodhue,5044.14
Grant,3186.76
Hennepin,19104.69
Houston,2782.56
Hubbard,4520.12
Isanti,3214.35
Itasca,9928.13
Jackson,4375.7
Kanabec,2541.87
Kandiyohi,5173.36
Kittson,4823.27
Koochiching,3978.4
Lac qui Parle,4437.74
Lake,3862.97
Lake of the Woods,2320.96
Le Sueur,3213.67
Lincoln,3237.39
Lyon,4510.68
Mahnomen,2195.45
Marshall,8446.45
Martin,4620.42
McLeod,3423.63
Meeker,3897.59
Mille Lacs,3273.73
Morrison,5950.75
Mower,4829.29
Murray,4153.22
Nicollet,2852.9
Nobles,4643.09
Norman,4519.28
Olmsted,5907.11
Otter Tail,12212.62
Pennington,3394.4
Pine,5992.35
Pipestone,2909.89
Polk,11071.78
Pope,3788.27
Ramsey,7158.67
Red Lake,2318.57
Redwood,5185.54
Renville,5764.55
Rice,3895.18
Rock,3091.2
Roseau,6495.07
Saint Louis,18169.47
Scott,4446.2
Sherburne,4091.59
Sibley,3456.29
Stearns,10188.88
Steele,3115.1
Stevens,3209.71
Swift,4297.01
Todd,5676.72
Traverse,3297.5
Wabasha,3069.85
Wadena,2884.86
Waseca,2692.51
Washington,6336.98
Watonwan,2737.07
Wilkin,4289.66
Winona,3945.02
Wright,6661.7
Yellow Medicine,4548.34
