County,Route System,Centerline Miles,Lane Miles
Aitkin,2 - US Highway,48.948,97.896
Aitkin,3 - MN Highway,204.602,410.015
Aitkin,4 - County State Aid Highway,381.775,763.549
Aitkin,7 - County Road,131.544,263.088
Aitkin,8 - Township Road,781.339,"1,562.68"
Aitkin,9 - Unorganized Territory Road,60.492,120.984
Aitkin,10 - Municipal Street,32.039,64.083
Aitkin,12 - National Forest Road,2.982,5.964
Aitkin,13 - Indian Tribe Nation Road,1.765,3.715
Aitkin,14 - State Forest Road,94.599,189.199
Aitkin,15 - State Park Road,6.909,13.818
Aitkin,18 - Bureau of Fish and Wildlife Road,12.661,25.322
Aitkin,"25 - Local Park, Forest or Reservation Agency Road",2.531,5.063
Aitkin,30 - Alleyway,4.397,8.795
Anoka,1 - Interstate,23.369,104.6
Anoka,2 - US Highway,18.693,87.381
Anoka,3 - MN Highway,52.888,200.203
Anoka,4 - County State Aid Highway,311.745,793.671
Anoka,5 - Municipal State Aid Street,352.746,738.593
Anoka,7 - County Road,98.607,197.454
Anoka,8 - Township Road,62.179,124.358
Anoka,10 - Municipal Street,"1,527.06","3,055.00"
Anoka,"25 - Local Park, Forest or Reservation Agency Road",1.508,3.017
Anoka,26 - Other Local Road,0.611,1.222
Anoka,30 - Alleyway,21.936,43.701
Becker,2 - US Highway,58.776,170.538
Becker,3 - MN Highway,81.449,164.687
Becker,4 - County State Aid Highway,478.156,957.233
Becker,5 - Municipal State Aid Street,25.95,52.813
Becker,7 - County Road,190.802,381.603
Becker,8 - Township Road,"1,125.95","2,251.90"
Becker,10 - Municipal Street,80.618,161.347
Becker,13 - Indian Tribe Nation Road,49.103,98.206
Becker,14 - State Forest Road,1.768,3.536
Becker,15 - State Park Road,0.366,0.731
Becker,18 - Bureau of Fish and Wildlife Road,11.196,22.391
Becker,30 - Alleyway,4.176,8.172
Beltrami,2 - US Highway,55.891,168.27
Beltrami,3 - MN Highway,165.902,343.144
Beltrami,4 - County State Aid Highway,465.111,930.761
Beltrami,5 - Municipal State Aid Street,21.064,42.952
Beltrami,7 - County Road,249.733,499.466
Beltrami,8 - Township Road,710.114,"1,420.20"
Beltrami,9 - Unorganized Territory Road,51.224,102.449
Beltrami,10 - Municipal Street,107.745,215.928
Beltrami,12 - National Forest Road,148.755,297.51
Beltrami,13 - Indian Tribe Nation Road,235.515,471.024
Beltrami,14 - State Forest Road,67.205,134.41
Beltrami,15 - State Park Road,2.583,5.167
Beltrami,20 - Other State Agency Road,0.222,0.444
Beltrami,30 - Alleyway,12.081,24.163
Benton,2 - US Highway,20.753,84.176
