County,Total Miles,Ag District
AITKIN,5300.98,EAST CENTRAL
ANOKA,7820.52,EAST CENTRAL
BECKER,6381.56,NORTHWEST
BELTRAMI,6948.68,NORTH CENTRAL
BENTON,3036.4,CENTRAL
BIG STONE,2813.32,WEST CENTRAL
BLUE EARTH,5478.25,SOUTH CENTRAL
BROWN,3785.4,SOUTH CENTRAL
CARLTON,3801.07,EAST CENTRAL
CARVER,3582.32,CENTRAL
CASS,7779.64,NORTH CENTRAL
CHIPPEWA,3655.65,WEST CENTRAL
CHISAGO,3553.24,EAST CENTRAL
CLAY,6529.67,NORTHWEST
CLEARWATER,3792.56,NORTHWEST
COOK,2948.28,NORTHEAST
COTTONWOOD,3863.81,SOUTHWEST
CROW WING,6495.43,EAST CENTRAL
DAKOTA,8775.14,SOUTHEAST
DODGE,2840.55,SOUTHEAST
DOUGLAS,4752.63,WEST CENTRAL
FARIBAULT,4487.55,SOUTH CENTRAL
FILLMORE,4815.51,SOUTHEAST
FREEBORN,4813.41,SOUTH CENTRAL
GOODHUE,5044.14,SOUTHEAST
GRANT,3186.76,WEST CENTRAL
HENNEPIN,19104.69,EAST CENTRAL
HOUSTON,2782.56,SOUTHEAST
HUBBARD,4520.12,NORTH CENTRAL
ISANTI,3214.35,EAST CENTRAL
ITASCA,9928.13,NORTH CENTRAL
JACKSON,4375.7,SOUTHWEST
KANABEC,2541.87,EAST CENTRAL
KANDIYOHI,5173.36,CENTRAL
KITTSON,4823.27,NORTHWEST
KOOCHICHING,3978.4,NORTH CENTRAL
LAC QUI PARLE,4437.74,WEST CENTRAL
LAKE,3862.97,NORTHEAST
LAKE OF THE WOODS,2320.96,NORTH CENTRAL
LE SUEUR,3213.67,SOUTH CENTRAL
LINCOLN,3237.39,SOUTHWEST
LYON,4510.68,SOUTHWEST
MAHNOMEN,2195.45,NORTHWEST
MARSHALL,8446.45,NORTHWEST
MARTIN,4620.42,SOUTH CENTRAL
MCLEOD,3423.63,CENTRAL
MEEKER,3897.59,CENTRAL
MILLE LACS,3273.73,EAST CENTRAL
MORRISON,5950.75,CENTRAL
MOWER,4829.29,SOUTHEAST
MURRAY,4153.22,SOUTHWEST
NICOLLET,2852.9,SOUTH CENTRAL
NOBLES,4643.09,SOUTHWEST
NORMAN,4519.28,NORTHWEST
OLMSTED,5907.11,SOUTHEAST
OTTER TAIL,12212.62,WEST CENTRAL
PENNINGTON,3394.4,NORTHWEST
PINE,5992.35,EAST CENTRAL
PIPESTONE,2909.89,SOUTHWEST
POLK,11071.78,NORTHWEST
POPE,3788.27,WEST CENTRAL
RAMSEY,7158.67,EAST CENTRAL
RED LAKE,2318.57,NORTHWEST
REDWOOD,5185.54,SOUTHWEST
RENVILLE,5764.55,CENTRAL
RICE,3895.18,SOUTH CENTRAL
ROCK,3091.2,SOUTHWEST
ROSEAU,6495.07,NORTHWEST
SAINT LOUIS,18169.47,NORTHEAST
SCOTT,4446.2,CENTRAL
SHERBURNE,4091.59,CENTRAL
SIBLEY,3456.29,CENTRAL
STEARNS,10188.88,CENTRAL
STEELE,3115.1,SOUTH CENTRAL
STEVENS,3209.71,WEST CENTRAL
SWIFT,4297.01,WEST CENTRAL
TODD,5676.72,CENTRAL
TRAVERSE,3297.5,WEST CENTRAL
WABASHA,3069.85,SOUTHEAST
WADENA,2884.86,CENTRAL
WASECA,2692.51,SOUTH CENTRAL
WASHINGTON,6336.98,EAST CENTRAL
WATONWAN,2737.07,SOUTH CENTRAL
WILKIN,4289.66,WEST CENTRAL
WINONA,3945.02,SOUTHEAST
WRIGHT,6661.7,CENTRAL
YELLOW MEDICINE,4548.34,WEST CENTRAL
