County of County_Animals,Year of County_Animals,"CATTLE, ON FEED - INVENTORY",HOGS - INVENTORY,TURKEYS - INVENTORY
AITKIN,2010,25.73,59.23,39.9
AITKIN,2011,39.53,71.53,45.2
AITKIN,2012,52.0,48.0,39.0
AITKIN,2013,67.13,96.13,55.8
AITKIN,2014,80.93,108.43,61.1
AITKIN,2015,94.73,120.73,66.4
AITKIN,2016,108.53,133.03,71.7
AITKIN,2017,125.0,217.0,100.0
AITKIN,2018,136.13,157.63,82.3
AITKIN,2019,149.93,169.93,87.6
AITKIN,2020,163.73,182.23,92.9
AITKIN,2021,177.53,194.53,98.2
AITKIN,2022,190.0,171.0,92.0
AITKIN,2023,205.13,219.13,108.8
ANOKA,2010,271.8,139.63,-95.6
ANOKA,2011,272.4,145.73,-77.8
ANOKA,2012,273.0,170.0,-60.0
ANOKA,2013,273.6,157.93,-42.2
ANOKA,2014,274.2,164.03,-24.4
ANOKA,2015,274.8,170.13,-6.6
ANOKA,2016,275.4,176.23,11.2
ANOKA,2017,276.0,146.0,29.0
ANOKA,2018,276.6,188.43,46.8
ANOKA,2019,277.2,194.53,64.6
ANOKA,2020,277.8,200.63,82.4
ANOKA,2021,278.4,206.73,100.2
ANOKA,2022,279.0,231.0,118.0
ANOKA,2023,279.6,218.93,135.8
BECKER,2010,2177.2,17447.8,561554.1
BECKER,2011,2222.6,18076.4,548928.8
BECKER,2012,2531.0,18705.0,483590.0
BECKER,2013,2313.4,19333.6,523678.2
BECKER,2014,2358.8,19962.2,511052.9
BECKER,2015,2404.2,20590.8,498427.6
BECKER,2016,2449.6,21219.4,485802.3
BECKER,2017,1969.0,21848.0,578604.0
BECKER,2018,2540.4,22476.6,460551.7
BECKER,2019,2585.8,23105.2,447926.4
BECKER,2020,2631.2,23733.8,435301.1
BECKER,2021,2676.6,24362.4,422675.8
BECKER,2022,2985.0,24991.0,357337.0
BECKER,2023,2767.4,25619.6,397425.2
BELTRAMI,2010,376.6,178.9,116.2
BELTRAMI,2011,370.8,181.2,109.6
BELTRAMI,2012,365.0,186.0,72.0
BELTRAMI,2013,359.2,185.8,96.4
BELTRAMI,2014,353.4,188.1,89.8
BELTRAMI,2015,347.6,190.4,83.2
BELTRAMI,2016,341.8,192.7,76.6
BELTRAMI,2017,336.0,190.0,132.0
BELTRAMI,2018,330.2,197.3,63.4
BELTRAMI,2019,324.4,199.6,56.8
BELTRAMI,2020,318.6,201.9,50.2
BELTRAMI,2021,312.8,204.2,43.6
BELTRAMI,2022,307.0,209.0,6.0
BELTRAMI,2023,301.2,208.8,30.4
BENTON,2010,4111.73,20408.67,
BENTON,2011,4091.53,21490.67,
BENTON,2012,4359.0,23865.0,22.0
BENTON,2013,4051.13,23654.67,
BENTON,2014,4030.93,24736.67,
BENTON,2015,4010.73,25818.67,
BENTON,2016,3990.53,26900.67,
BENTON,2017,3395.0,25398.0,
BENTON,2018,3950.13,29064.67,
BENTON,2019,3929.93,30146.67,
BENTON,2020,3909.73,31228.67,
BENTON,2021,3889.53,32310.67,
BENTON,2022,4157.0,34685.0,
BENTON,2023,3849.13,34474.67,
BIG STONE,2010,1174.37,41524.7,
BIG STONE,2011,1121.27,41935.6,
BIG STONE,2012,937.0,41005.0,
BIG STONE,2013,1015.07,42757.4,
BIG STONE,2014,961.97,43168.3,
BIG STONE,2015,908.87,43579.2,
BIG STONE,2016,855.77,43990.1,
BIG STONE,2017,1065.0,47084.0,
BIG STONE,2018,749.57,44811.9,
BIG STONE,2019,696.47,45222.8,
BIG STONE,2020,643.37,45633.7,
BIG STONE,2021,590.27,46044.6,
BIG STONE,2022,406.0,45114.0,
BIG STONE,2023,484.07,46866.4,
BLUE EARTH,2010,5179.7,526989.2,116808.8
BLUE EARTH,2011,5038.6,538540.6,118946.4
BLUE EARTH,2012,4014.0,554230.0,121084.0
BLUE EARTH,2013,4756.4,561643.4,123221.6
BLUE EARTH,2014,4615.3,573194.8,125359.2
BLUE EARTH,2015,4474.2,584746.2,127496.8
BLUE EARTH,2016,4333.1,596297.6,129634.4
BLUE EARTH,2017,5959.0,599573.0,131772.0
BLUE EARTH,2018,4050.9,619400.4,133909.6
BLUE EARTH,2019,3909.8,630951.8,136047.2
BLUE EARTH,2020,3768.7,642503.2,138184.8
BLUE EARTH,2021,3627.6,654054.6,140322.4
BLUE EARTH,2022,2603.0,669744.0,142460.0
BLUE EARTH,2023,3345.4,677157.4,144597.6
BROWN,2010,24643.97,230057.27,428087.0
BROWN,2011,23735.07,232677.47,400580.0
BROWN,2012,20570.0,218163.0,378325.0
BROWN,2013,21917.27,237917.87,345566.0
BROWN,2014,21008.37,240538.07,318059.0
BROWN,2015,20099.47,243158.27,290552.0
BROWN,2016,19190.57,245778.47,263045.0
BROWN,2017,22794.0,282668.0,225034.0
BROWN,2018,17372.77,251018.87,208031.0
BROWN,2019,16463.87,253639.07,180524.0
BROWN,2020,15554.97,256259.27,153017.0
BROWN,2021,14646.07,258879.47,125510.0
BROWN,2022,11481.0,244365.0,103255.0
BROWN,2023,12828.27,264119.87,70496.0
CARLTON,2010,91.8,263.6,-2.2
CARLTON,2011,105.4,257.8,4.4
CARLTON,2012,119.0,118.0,11.0
CARLTON,2013,132.6,246.2,17.6
CARLTON,2014,146.2,240.4,24.2
CARLTON,2015,159.8,234.6,30.8
CARLTON,2016,173.4,228.8,37.4
CARLTON,2017,187.0,491.0,44.0
CARLTON,2018,200.6,217.2,50.6
CARLTON,2019,214.2,211.4,57.2
CARLTON,2020,227.8,205.6,63.8
CARLTON,2021,241.4,199.8,70.4
CARLTON,2022,255.0,60.0,77.0
CARLTON,2023,268.6,188.2,83.6
CARVER,2010,3198.2,24416.13,140.6
CARVER,2011,3238.6,24033.73,132.8
CARVER,2012,2941.0,29567.0,121.0
CARVER,2013,3319.4,23268.93,117.2
CARVER,2014,3359.8,22886.53,109.4
CARVER,2015,3400.2,22504.13,101.6
CARVER,2016,3440.6,22121.73,93.8
CARVER,2017,4157.0,9908.0,94.0
CARVER,2018,3521.4,21356.93,78.2
CARVER,2019,3561.8,20974.53,70.4
CARVER,2020,3602.2,20592.13,62.6
CARVER,2021,3642.6,20209.73,54.8
CARVER,2022,3345.0,25743.0,43.0
CARVER,2023,3723.4,19444.93,39.2
CASS,2010,1111.2,65.53,
CASS,2011,1025.6,77.93,
CASS,2012,940.0,98.0,
CASS,2013,854.4,102.73,
CASS,2014,768.8,115.13,
CASS,2015,683.2,127.53,
CASS,2016,597.6,139.93,
CASS,2017,512.0,137.0,
CASS,2018,426.4,164.73,
CASS,2019,340.8,177.13,
CASS,2020,255.2,189.53,
CASS,2021,169.6,201.93,
CASS,2022,84.0,222.0,
CASS,2023,-1.6,226.73,
CHIPPEWA,2010,5310.2,47318.57,
CHIPPEWA,2011,5041.6,48460.87,
CHIPPEWA,2012,3710.0,50200.0,
CHIPPEWA,2013,4504.4,50745.47,
CHIPPEWA,2014,4235.8,51887.77,
CHIPPEWA,2015,3967.2,53030.07,
CHIPPEWA,2016,3698.6,54172.37,
CHIPPEWA,2017,5556.0,54121.0,
CHIPPEWA,2018,3161.4,56456.97,
CHIPPEWA,2019,2892.8,57599.27,
CHIPPEWA,2020,2624.2,58741.57,
CHIPPEWA,2021,2355.6,59883.87,
CHIPPEWA,2022,1024.0,61623.0,109546.0
CHIPPEWA,2023,1818.4,62168.47,
CHISAGO,2010,435.53,756.3,201.0
CHISAGO,2011,448.93,748.4,192.0
CHISAGO,2012,458.0,563.0,183.0
CHISAGO,2013,475.73,732.6,174.0
CHISAGO,2014,489.13,724.7,165.0
CHISAGO,2015,502.53,716.8,156.0
CHISAGO,2016,515.93,708.9,147.0
CHISAGO,2017,538.0,1056.0,138.0
CHISAGO,2018,542.73,693.1,129.0
CHISAGO,2019,556.13,685.2,120.0
CHISAGO,2020,569.53,677.3,111.0
CHISAGO,2021,582.93,669.4,102.0
CHISAGO,2022,592.0,484.0,93.0
CHISAGO,2023,609.73,653.6,84.0
CLAY,2010,1454.47,36473.67,
CLAY,2011,1370.07,34542.67,
CLAY,2012,1219.0,32825.0,
CLAY,2013,1201.27,30680.67,
CLAY,2014,1116.87,28749.67,
CLAY,2015,1032.47,26818.67,
CLAY,2016,948.07,24887.67,
CLAY,2017,997.0,22530.0,
CLAY,2018,779.27,21025.67,
CLAY,2019,694.87,19094.67,
CLAY,2020,610.47,17163.67,
CLAY,2021,526.07,15232.67,
CLAY,2022,375.0,13515.0,
CLAY,2023,357.27,11370.67,
