County of County_Animals,Year of County_Animals,HOGS - INVENTORY,TURKEYS - INVENTORY
AITKIN,2010,,
AITKIN,2011,,
AITKIN,2012,48,39
AITKIN,2013,,
AITKIN,2014,,
AITKIN,2015,,
AITKIN,2016,,
AITKIN,2017,217,100
AITKIN,2018,,
AITKIN,2019,,
AITKIN,2020,,
AITKIN,2021,,
AITKIN,2022,171,92
AITKIN,2023,,
ANOKA,2010,,
ANOKA,2011,,
ANOKA,2012,170,
ANOKA,2013,,
ANOKA,2014,,
ANOKA,2015,,
ANOKA,2016,,
ANOKA,2017,146,29
ANOKA,2018,,
ANOKA,2019,,
ANOKA,2020,,
ANOKA,2021,,
ANOKA,2022,231,118
ANOKA,2023,,
BECKER,2010,,
BECKER,2011,,
BECKER,2012,18705,483590
BECKER,2013,,
BECKER,2014,,
BECKER,2015,,
BECKER,2016,,
BECKER,2017,,578604
BECKER,2018,,
BECKER,2019,,
BECKER,2020,,
BECKER,2021,,
BECKER,2022,24991,357337
BECKER,2023,,
BELTRAMI,2010,,
BELTRAMI,2011,,
BELTRAMI,2012,186,72
BELTRAMI,2013,,
BELTRAMI,2014,,
BELTRAMI,2015,,
BELTRAMI,2016,,
BELTRAMI,2017,190,132
BELTRAMI,2018,,
BELTRAMI,2019,,
BELTRAMI,2020,,
BELTRAMI,2021,,
BELTRAMI,2022,209,6
BELTRAMI,2023,,
BENTON,2010,,
BENTON,2011,,
BENTON,2012,23865,22
BENTON,2013,,
BENTON,2014,,
BENTON,2015,,
BENTON,2016,,
BENTON,2017,25398,
BENTON,2018,,
BENTON,2019,,
BENTON,2020,,
BENTON,2021,,
BENTON,2022,34685,
BENTON,2023,,
BIG STONE,2010,,
BIG STONE,2011,,
BIG STONE,2012,41005,
BIG STONE,2013,,
BIG STONE,2014,,
BIG STONE,2015,,
BIG STONE,2016,,
BIG STONE,2017,47084,
BIG STONE,2018,,
BIG STONE,2019,,
BIG STONE,2020,,
BIG STONE,2021,,
BIG STONE,2022,45114,
BIG STONE,2023,,
BLUE EARTH,2010,,
BLUE EARTH,2011,,
BLUE EARTH,2012,554230,121084
BLUE EARTH,2013,,
BLUE EARTH,2014,,
BLUE EARTH,2015,,
BLUE EARTH,2016,,
BLUE EARTH,2017,599573,131772
BLUE EARTH,2018,,
BLUE EARTH,2019,,
BLUE EARTH,2020,,
BLUE EARTH,2021,,
BLUE EARTH,2022,669744,
BLUE EARTH,2023,,
BROWN,2010,,
BROWN,2011,,
BROWN,2012,218163,378325
BROWN,2013,,
BROWN,2014,,
BROWN,2015,,
BROWN,2016,,
BROWN,2017,282668,225034
BROWN,2018,,
BROWN,2019,,
BROWN,2020,,
BROWN,2021,,
BROWN,2022,244365,103255
BROWN,2023,,
CARLTON,2010,,
CARLTON,2011,,
CARLTON,2012,118,11
CARLTON,2013,,
CARLTON,2014,,
CARLTON,2015,,
CARLTON,2016,,
CARLTON,2017,491,44
CARLTON,2018,,
CARLTON,2019,,
CARLTON,2020,,
CARLTON,2021,,
CARLTON,2022,60,
CARLTON,2023,,
CARVER,2010,,
