@RELATION nhl_player_performance

@ATTRIBUTE player_name STRING
@ATTRIBUTE goals NUMERIC
@ATTRIBUTE assists NUMERIC
@ATTRIBUTE points NUMERIC
@ATTRIBUTE shots NUMERIC
@ATTRIBUTE ice_time_per_game NUMERIC
@ATTRIBUTE penalty_minutes NUMERIC
@ATTRIBUTE position {Forward, Defenseman, Goalie}
@ATTRIBUTE team {Team_A, Team_B, Team_C, Team_D}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE games_played NUMERIC
@ATTRIBUTE strength {Elite, Star, Top, Good, Average, Bottom}
@ATTRIBUTE height STRING
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE ethnicity {Asian, Black, Caucasian, Hispanic, Other}
@ATTRIBUTE nationality {USA, Canada, Sweden, Finland, Russia}
@ATTRIBUTE economic_background {Low, Middle, High}

@DATA
'Player1', 15, 13, 28, 166, 24.9, 114, 'Defenseman', 'Team_A', 34, 65, 'Average', '5ft11in', 172, 'Other', 'Sweden', 'Low'
'Player2', 46, 75, 121, 254, 23.8, 92, 'Defenseman', 'Team_D', 18, 24, 'Elite', '5ft2in', 183, 'Black', 'Sweden', 'High'
'Player3', 5, 48, 53, 182, 19.1, 101, 'Goalie', 'Team_D', 23, 77, 'Top', '5ft6in', 168, 'Asian', 'Russia', 'Middle'
'Player4', 59, 15, 74, 342, 20.7, 129, 'Forward', 'Team_B', 20, 46, 'Star', '5ft10in', 162, 'Hispanic', 'Sweden', 'Middle'
'Player5', 35, 53, 88, 146, 23.9, 74, 'Defenseman', 'Team_C', 22, 39, 'Elite', '6ft4in', 173, 'Caucasian', 'Sweden', 'High'
'Player6', 10, 12, 22, 253, 17.5, 74, 'Goalie', 'Team_A', 29, 70, 'Average', '6ft4in', 159, 'Hispanic', 'Sweden', 'High'
'Player7', 37, 46, 83, 109, 20.6, 49, 'Forward', 'Team_B', 38, 16, 'Elite', '5ft5in', 213, 'Other', 'USA', 'Middle'
'Player8', 25, 25, 50, 98, 18.1, 13, 'Defenseman', 'Team_A', 35, 56, 'Top', '5ft8in', 176, 'Asian', 'Canada', 'Low'
'Player9', 67, 43, 110, 307, 20.5, 47, 'Defenseman', 'Team_D', 22, 48, 'Elite', '5ft3in', 206, 'Caucasian', 'Canada', 'High'
'Player10', 13, 62, 75, 193, 24.4, 14, 'Defenseman', 'Team_A', 21, 56, 'Star', '5ft11in', 183, 'Caucasian', 'Sweden', 'Middle'
'Player11', 4, 10, 14, 347, 23.9, 19, 'Forward', 'Team_A', 18, 55, 'Bottom', '6ft0in', 199, 'Other', 'Russia', 'Middle'
'Player12', 21, 88, 109, 243, 24.4, 89, 'Goalie', 'Team_D', 22, 31, 'Elite', '6ft10in', 206, 'Other', 'Finland', 'High'
'Player13', 22, 99, 121, 244, 22.8, 122, 'Forward', 'Team_D', 32, 26, 'Elite', '6ft5in', 173, 'Other', 'Canada', 'High'
